# 
# Region: 1258.0 - 1385.4
# Amplitude: 101.24
# Centroid: 1323.40 keV (channel:877.81)
# FWHM: 81.647(6.17%)
# Area: 8194.09
# -----------
-0.000,0.000
1.508,0.000
3.015,0.000
4.523,0.000
6.030,0.000
7.538,0.000
9.046,0.000
10.553,0.000
12.061,0.000
13.568,0.000
15.076,0.000
16.584,0.000
18.091,0.000
19.599,0.000
21.106,0.000
22.614,0.000
24.122,0.000
25.629,0.000
27.137,0.000
28.645,0.000
30.152,0.000
31.660,0.000
33.167,0.000
34.675,0.000
36.183,0.000
37.690,0.000
39.198,0.000
40.705,0.000
42.213,0.000
43.721,0.000
45.228,0.000
46.736,0.000
48.243,0.000
49.751,0.000
51.259,0.000
52.766,0.000
54.274,0.000
55.781,0.000
57.289,0.000
58.797,0.000
60.304,0.000
61.812,0.000
63.319,0.000
64.827,0.000
66.335,0.000
67.842,0.000
69.350,0.000
70.857,0.000
72.365,0.000
73.873,0.000
75.380,0.000
76.888,0.000
78.396,0.000
79.903,0.000
81.411,0.000
82.918,0.000
84.426,0.000
85.934,0.000
87.441,0.000
88.949,0.000
90.456,0.000
91.964,0.000
93.472,0.000
94.979,0.000
96.487,0.000
97.994,0.000
99.502,0.000
101.010,0.000
102.517,0.000
104.025,0.000
105.532,0.000
107.040,0.000
108.548,0.000
110.055,0.000
111.563,0.000
113.070,0.000
114.578,0.000
116.086,0.000
117.593,0.000
119.101,0.000
120.608,544.500
122.116,544.500
123.624,525.800
125.131,557.700
126.639,495.000
128.147,530.200
129.654,489.500
131.162,501.600
132.669,478.500
134.177,481.800
135.685,465.300
137.192,454.300
138.700,463.100
140.207,468.600
141.715,416.900
143.223,485.100
144.730,423.500
146.238,444.400
147.745,430.100
149.253,446.600
150.761,432.300
152.268,369.600
153.776,409.200
155.283,408.100
156.791,400.400
158.299,410.300
159.806,376.200
161.314,411.400
162.821,376.200
164.329,409.200
165.837,389.400
167.344,343.200
168.852,388.300
170.359,372.900
171.867,383.900
173.375,366.300
174.882,388.300
176.390,376.200
177.898,370.700
179.405,328.900
180.913,383.900
182.420,380.600
183.928,379.500
185.436,359.700
186.943,370.700
188.451,376.200
189.958,371.800
191.466,400.400
192.974,359.700
194.481,386.100
195.989,374.000
197.496,354.200
199.004,357.500
200.512,401.500
202.019,376.200
203.527,369.600
205.034,366.300
206.542,379.500
208.050,360.800
209.557,405.900
211.065,405.900
212.572,383.900
214.080,355.300
215.588,436.700
217.095,339.900
218.603,407.000
220.110,385.000
221.618,401.500
223.126,396.000
224.633,385.000
226.141,370.700
227.648,368.500
229.156,436.700
230.664,403.700
232.171,382.800
233.679,372.900
235.187,411.400
236.694,354.200
238.202,386.100
239.709,355.300
241.217,382.800
242.725,356.400
244.232,367.400
245.740,400.400
247.247,349.800
248.755,344.300
250.263,352.000
251.770,313.500
253.278,354.200
254.785,328.900
256.293,302.500
257.801,343.200
259.308,304.700
260.816,308.000
262.323,353.100
263.831,314.600
265.339,315.700
266.846,322.300
268.354,335.500
269.861,303.600
271.369,284.900
272.877,261.800
274.384,310.200
275.892,255.200
277.399,258.500
278.907,273.900
280.415,286.000
281.922,289.300
283.430,239.800
284.938,253.000
286.445,290.400
287.953,234.300
289.460,251.900
290.968,245.300
292.476,211.200
293.983,264.000
295.491,244.200
296.998,233.200
298.506,247.500
300.014,233.200
301.521,243.100
303.029,232.100
304.536,198.000
306.044,243.100
307.552,227.700
309.059,254.100
310.567,209.000
312.074,238.700
313.582,227.700
315.090,227.700
316.597,253.000
318.105,223.300
319.612,229.900
321.120,213.400
322.628,244.200
324.135,212.300
325.643,221.100
327.150,200.200
328.658,210.100
330.166,215.600
331.673,215.600
333.181,212.300
334.689,234.300
336.196,216.700
337.704,182.600
339.211,218.900
340.719,196.900
342.227,195.800
343.734,215.600
345.242,204.600
346.749,198.000
348.257,183.700
349.765,210.100
351.272,190.300
352.780,206.800
354.287,204.600
355.795,190.300
357.303,184.800
358.810,199.100
360.318,179.300
361.825,220.000
363.333,199.100
364.841,162.800
366.348,202.400
367.856,168.300
369.363,206.800
370.871,169.400
372.379,182.600
373.886,167.200
375.394,185.900
376.901,170.500
378.409,204.600
379.917,180.400
381.424,149.600
382.932,174.900
384.440,221.100
385.947,192.500
387.455,193.600
388.962,191.400
390.470,181.500
391.978,160.600
393.485,177.100
394.993,192.500
396.500,180.400
398.008,166.100
399.516,200.200
401.023,158.400
402.531,196.900
404.038,163.900
405.546,212.300
407.054,162.800
408.561,196.900
410.069,157.300
411.576,161.700
413.084,156.200
414.592,170.500
416.099,155.100
417.607,176.000
419.114,161.700
420.622,162.800
422.130,171.600
423.637,178.200
425.145,163.900
426.652,184.800
428.160,149.600
429.668,202.400
431.175,183.700
432.683,160.600
434.191,141.900
435.698,163.900
437.206,166.100
438.713,176.000
440.221,169.400
441.729,155.100
443.236,167.200
444.744,159.500
446.251,163.900
447.759,192.500
449.267,163.900
450.774,170.500
452.282,176.000
453.789,187.000
455.297,174.900
456.805,191.400
458.312,157.300
459.820,156.200
461.327,179.300
462.835,159.500
464.343,165.000
465.850,198.000
467.358,160.600
468.865,163.900
470.373,170.500
471.881,179.300
473.388,163.900
474.896,179.300
476.403,156.200
477.911,169.400
479.419,155.100
480.926,172.700
482.434,171.600
483.942,148.500
485.449,169.400
486.957,192.500
488.464,180.400
489.972,157.300
491.480,177.100
492.987,179.300
494.495,169.400
496.002,168.300
497.510,156.200
499.018,156.200
500.525,162.800
502.033,180.400
503.540,167.200
505.048,151.800
506.556,155.100
508.063,162.800
509.571,177.100
